E_eV,Dit_cm2eV
-1.2,0.1390186100194548
-1.199,0.15108591563646223
-1.198,0.1641780028261145
-1.197,0.1783798918430537
-1.196,0.19378348286491168
-1.195,0.21048809799884985
-1.194,0.22860106476757847
-1.193,0.2482383441503983
-1.192,0.2695252064751743
-1.191,0.2925969586924495
-1.19,0.3175997268146191
-1.189,0.34469129757178946
-1.188,0.37404202362325256
-1.187,0.4058357969701182
-1.186,0.4402710955424647
-1.185,0.47756210828375867
-1.184,0.5179399444292669
-1.183,0.5616539330730489
-1.182,0.6089730195441777
-1.181,0.6601872655658807
-1.18,0.7156094606562002
-1.179,0.7755768527442484
-1.178,0.8404530065276858
-1.177,0.9106297986830603
-1.176,0.986529559667664
-1.175,1.0686073725172174
-1.174,1.1573535397557666
-1.173,1.253296230290283
-1.172,1.3570043189699363
-1.171,1.4690904323484657
-1.17,1.5902142151034238
-1.169,1.7210858325393075
-1.168,1.862469725639013
-1.167,2.0151886362304055
-1.166,2.180127921009751
-1.165,2.358240174411362
-1.164,2.550550181642541
-1.163,2.7581602246139743
-1.162,2.9822557649996195
-1.161,3.22411153025421
-1.16,3.4850980301169336
-1.159,3.7666885329291206
-1.158,4.0704665330144945
-1.157,4.398133742400495
-1.156,4.751518642326633
-1.155,5.13258563227497
-1.154,5.543444816701048
-1.153,5.98636247222348
-1.152,6.463772240782614
-1.151,6.978287097183561
-1.15,7.532712142536895
-1.149,8.130058278379918
-1.148,8.77355681974287
-1.147,9.466675109104802
-1.146,10.213133197093548
-1.145,11.016921659919637
-1.144,11.882320627926017
-1.143,12.813920104275976
-1.142,13.816641657731946
-1.141,14.895761578682256
-1.14,16.05693559310165
-1.139,17.306225234964504
-1.138,18.650125983826236
-1.137,20.095597280815777
-1.136,21.650094543228334
-1.135,23.321603305203514
-1.134,25.118675619750853
-1.133,27.050468865540097
-1.132,29.1267871105677
-1.131,31.35812519392402
-1.13,33.7557156965937
-1.129,36.331578982399805
-1.128,39.098576501033804
-1.127,42.07046755646705
-1.126,45.26196975612145
-1.125,48.68882336883378
-1.1239999999999999,52.36785983309749
-1.123,56.31707467118334
-1.1219999999999999,60.5557050796965
-1.121,65.10431248284567
-1.1199999999999999,69.98487035134063
-1.119,75.22085760730378
-1.1179999999999999,80.83735795408587
-1.117,86.86116548928379
-1.1159999999999999,93.32089697980476
-1.115,100.24711119936933
-1.1139999999999999,107.67243575165729
-1.113,115.63170182617253
-1.1119999999999999,124.16208735923298
-1.111,133.3032690989193
-1.1099999999999999,143.09758410089506
-1.109,153.59020121126443
-1.1079999999999999,164.82930312373054
-1.107,176.86627963065794
-1.1059999999999999,189.7559327220715
-1.105,203.55669422234024
-1.1039999999999999,218.33085669235845
-1.103,234.1448183644942
-1.1019999999999999,251.0693429195737
-1.101,269.17983495876183
-1.0999999999999999,288.5566320694528
-1.099,309.2853144324495
-1.0979999999999999,331.45703296860296
-1.097,355.1688570762036
-1.0959999999999999,380.5241430664213
-1.095,407.63292446258225
-1.0939999999999999,436.6123253907003
-1.093,467.58699835296534
-1.0919999999999999,500.6895877436917
-1.091,536.0612205377868
-1.0899999999999999,573.8520256564229
-1.089,614.2216835917773
-1.0879999999999999,657.3400079548964
-1.087,703.3875606951965
-1.0859999999999999,752.5563028302408
-1.085,805.0502826170456
-1.0839999999999999,861.0863631948469
-1.083,920.8949918306306
-1.0819999999999999,984.7210130067313
-1.081,1052.824527700678
-1.08,1125.4818013255403
-1.079,1202.9862229202522
-1.0779999999999998,1285.6493183080038
-1.077,1373.8018200738666
-1.076,1467.7947973523871
-1.075,1568.0008485613298
-1.0739999999999998,1674.815360369926
-1.073,1788.6578363486494
-1.072,1909.973298913002
-1.071,2039.2337683462708
-1.0699999999999998,2176.9398228666755
-1.069,2323.622243892116
-1.068,2479.8437508512498
-1.067,2646.200830093619
-1.0659999999999998,2823.3256626643965
-1.065,3011.88815593072
-1.064,3212.5980842769754
-1.063,3426.207344326306
-1.0619999999999998,3653.5123303959226
-1.061,3895.356436153612
-1.06,4152.632688713412
-1.059,4426.286521689108
-1.0579999999999998,4717.318694017533
-1.057,5026.788361667482
-1.056,5355.816309665775
-1.055,5705.588352199984
-1.054,6077.358908898762
-1.053,6472.454765745343
-1.052,6892.279029444739
-1.051,7338.315284450449
-1.05,7812.131962247385
-1.049,8315.386932903451
-1.048,8849.832329321542
-1.047,9417.319615071865
-1.046,10019.804907133728
-1.045,10659.35456535754
-1.044,11338.151060940234
-1.043,12058.499136722945
-1.042,12822.832272637237
-1.041,13633.71947017871
-1.04,14493.872370340041
-1.039,15406.152720027212
-1.038,16373.580202573536
-1.037,17399.340648599118
-1.036,18486.79464409296
-1.035,19639.486553272243
-1.034,20861.153974442488
-1.033,22155.73764780575
-1.032,23527.391834876486
-1.031,24980.495189933736
-1.03,26519.662144696667
-1.029,28149.75482822842
-1.028,29875.89554487744
-1.027,31703.479833934405
-1.026,33638.190135535675
-1.025,35686.0100882657
-1.024,37853.23948481164
-1.023,40146.50991300354
-1.022,42572.80111052003
-1.021,45139.45806257952
-1.02,47854.208872935626
-1.019,50725.18343959204
-1.018,53760.93296770436
-1.017,56970.45035329413
-1.016,60363.19147250521
-1.015,63949.09741235272
-1.014,67738.61768007245
-1.013,71742.73442946342
-1.012,75972.98774382855
-1.011,80441.50201646706
-1.01,85161.01347093635
-1.009,90144.8988647186
-1.008,95407.20542124796
-1.007,100962.68203672813
-1.006,106826.81180955369
-1.005,113015.84594168699
-1.004,119546.83906277163
-1.003,126437.68602937902
-1.002,133707.16025325653
-1.001,141374.9536141301
-1.0,149461.71801413325
-0.9989999999999999,157989.10863269164
-0.998,166979.82894224685
-0.9969999999999999,176457.67754702692
-0.996,186447.59690868156
-0.9949999999999999,196975.72402446636
-0.994,208069.44312532322
-0.9929999999999999,219757.44046313115
-0.992,232069.7612580917
-0.991,245037.86887919976
-0.99,258694.70633248825
-0.989,273074.76013372483
-0.988,288214.12664408074
-0.987,304150.580949251
-0.986,320923.648364416
-0.985,338574.6786494074
-0.984,357146.92302039283
-0.983,376685.6140463727
-0.982,397238.04852075706
-0.981,418853.6734002915
-0.98,441584.17490557185
-0.979,465483.5708794068
-0.978,490608.30650124635
-0.977,517017.35345791734
-0.976,544772.3126728515
-0.975,573937.5206980086
-0.974,604580.1598746041
-0.973,636770.3723707403
-0.972,670581.3782059336
-0.971,706089.5973744666
-0.97,743374.7761813205
-0.969,782520.117906344
-0.968,823612.4179141031
-0.967,866742.2033286091
-0.966,912003.8773939083
-0.965,959495.868643158
-0.964,1009320.7850004511
-0.963,1061585.5729412844
-0.962,1116401.6818390004
-0.961,1173885.233626042
-0.96,1234157.1979002517
-0.959,1297343.5726076737
-0.958,1363575.5704346485
-0.957,1432989.811043007
-0.956,1505728.5192833343
-0.955,1581939.729522066
-0.954,1661777.496219171
-0.953,1745402.1108937338
-0.952,1832980.3256155138
-0.951,1924685.5831608612
-0.95,2020698.2539718417
-0.949,2121205.880057526
-0.948,2226403.4259765544
-0.947,2336493.5370398215
-0.946,2451686.804872009
-0.945,2572202.040470204
-0.944,2698266.554897126
-0.943,2830116.447745831
-0.942,2967996.9035116634
-0.941,3112162.496005958
-0.94,3262877.5009448132
-0.939,3420416.2168442775
-0.938,3585063.2943516793
-0.9369999999999999,3757114.0741406665
-0.9359999999999999,3936874.933495045
-0.9349999999999999,4124663.6417040667
-0.9339999999999999,4320809.724388789
-0.9329999999999999,4525654.836876098
-0.9319999999999999,4739553.146733445
-0.9309999999999999,4962871.7255736925
-0.9299999999999999,5195990.950235438
-0.9289999999999999,5439304.913439712
-0.9279999999999999,5693221.844019573
-0.9269999999999999,5958164.536813774
-0.9259999999999999,6234570.792310586
-0.9249999999999999,6522893.866122179
-0.9239999999999999,6823602.928363824
-0.9229999999999999,7137183.533005831
-0.9219999999999999,7464138.097259431
-0.9209999999999999,7804986.39105053
-0.9199999999999999,8160266.036627868
-0.9189999999999999,8530533.018344054
-0.9179999999999999,8916362.202639604
-0.9169999999999999,9318347.868251454
-0.9159999999999999,9737104.24665821
-0.9149999999999999,10173266.072764514
-0.9139999999999999,10627489.145817269
-0.9129999999999999,11100450.900535678
-0.9119999999999999,11592850.988426168
-0.911,12105411.869241813
-0.9099999999999999,12638879.412534459
-0.909,13194023.50923376
-0.9079999999999999,13771638.693178084
-0.907,14372544.772503475
-0.9059999999999999,14997587.470789813
-0.905,15647639.077841442
